Panel,Circuit Number,Trip,Frame,_Breaker_Type
CP1-FN3L2B01,F1,400,630,ETU 850
CP1-FN3L2B01,F2,200,250,ETU 850
CP1-FN3L2B01,F3,200,250,ETU 850
CP1-FN3L2B01,F4,80,160,ETU 850
CP1-FN3L2B01,F5,80,160,ETU 850
CP1-FN3L2B01,F6,80,160,ETU 850
CP1-FN3L2B01,F7,80,160,ETU 850
CP1-FN3L2B01,F8,80,160,ETU 850
CP1-FN3L2B01,F9,250,630,ETU 850
CP1-FN3L2B01,F10,160,160,
CP1-FN3L2C01,F1,400,630,ETU 850
CP1-FN3L2C01,F2,200,250,ETU 850
CP1-FN3L2C01,F3,250,630,ETU 850
CP1-FN3L2C01,F4,80,160,ETU 350
CP1-FN3L2C01,F5,80,160,ETU 850
CP1-FN3L2C01,F6,125,160,ETU 850
CP1-FN3L2C01,F7,80,160,ETU 350
CP1-FN3L2C01,F8,160,160,ETU 850
CP1-FN3L2C01,F10,140,160,ETU 850
CP1-FN3L2C01,F11,140,160,ETU 850
CP1-FN3L3C01,F1,315,630,ETU 850
CP1-FN3L3C01,F2,200,250,ETU 850
CP1-FN3L3C01,F3,80,160,ETU 850
CP1-FN3L3C01,F4,226,250,ETU 850
CP1-FN3L3C01,F5,200,250,ETU 850
CP1-FN3L3C01,F6,80,160,ETU 850
CP1-FN3L3C01,F8,80,160,ETU 850
CP1-FN3L3C01,F9,80,160,ETU 850
CP1-FN3L3C01,F10,80,160,ETU 850
CP1-FN3L3C01,F11,80,160,ETU 850
CP1-FN3L3C01,F12,80,160,ETU 850
CP1-FN3L3C01,F13,100,160,ETU 850
CP1-FN3L4F01,F1,480,630,ETU 850
CP1-FN3L4F01,F2,480,630,ETU 850
CP1-FN3L4F01,F3,480,630,ETU 850
CP1-FN3L4F01,F4,400,630,ETU 850
CP1-FN3L5E01,F1,250,630,ETU 850
CP1-FN3L5E01,F2,250,630,ETU 850
CP1-FN3L5E01,F3,250,630,ETU 850
CP1-FN3L5E01,F4,250,630,ETU 850
CP1-FN3L5E01,F5,250,400,ETU 850
CP1-FN3L5E01,F6,250,400,ETU 850
CP1-FN3L5E01,F7,200,400,ETU 850
CP1-FN3L7C01,F1,315,630,ETU 850
CP1-FN3L7C01,F2,315,630,ETU 850
CP1-FN3L7C01,F3,315,630,ETU 850
CP1-FN3L7C01,F4,250,630,ETU 850
CP1-FN3L7E01,F1,400,630,ETU 850
CP1-FN3L7E01,F2,226,250,ETU 850
CP1-FN3L7E01,F3,226,250,ETU 850
CP1-FN3L7E01,F4,226,250,ETU 850
CP1-FN3L7E01,F5,226,250,ETU 850
CP1-FN3L7E01,F6,160,160,ETU 850
CP1-FN3L7E01,F7,160,160,ETU 850
CP1-FN3L8B01,F1,226,250,ETU 850
CP1-FN3L8B01,F2,226,250,ETU 850
CP1-FN3L8B01,F3,160,160,ETU 850
CP1-FN3L8B01,F4,226,250,ETU 850
CP1-FN3L8B01,F5,80,160,ETU 850
CP1-FN3L8B01,F6,80,160,ETU 850
CP1-FN3L8B01,F7,80,160,ETU 850
CP1-FN3L8B01,F8,80,160,ETU 850
CP1-FN3L8B01,F9,160,160,ETU 850
CP1-FN3L8B01,F10,226,250,ETU 850
CP1-FN3L8B01,F11,200,250,ETU 850
CP1-FN3L8B01,F12,200,250,ETU 850
CP1-FN3L8B01,F13,160,160,
CP1-FN3L8B01,F14,160,160,
CP1-FN3L8E01,F1,400,630,ETU 850
CP1-FN3L8E01,F2,315,630,ETU 850
CP1-FN3L8E01,F3,400,630,ETU 850
CP1-FN3L8E01,F4,315,630,ETU 850
CP1-FN3L8E01,F5,315,630,ETU 850
CP1-FN3W2C01,F1,400,630,ETU 850
CP1-FN3W2C01,F2,400,630,ETU 850
CP1-FN3W2C01,F3,250,630,ETU 850
CP1-FN3W2C01,F4,360,630,ETU 850
CP1-FN3W2C01,F5,200,400,ETU 850
CP1-FN3W2C01,F6,200,400,ETU 850
CP1-FN3W2C01,F7,200,400,ETU 850
CP1-FN3W3F01,F1,200,250,ETU 850
CP1-FN3W3F01,F2,200,250,ETU 850
CP1-FN3W3F01,F3,80,160,ETU 850
CP1-FN3W3F01,F9,80,160,ETU 850
CP1-FN3W4B01,F1,260,630,ETU 850
CP1-FN3W4B01,F2,480,630,ETU 850
CP1-FN3W4B01,F3,480,630,ETU 850
CP1-FN3W4B01,F4,480,630,ETU 850
CP1-FN3W4F01,F1,480,630,ETU 850
CP1-FN3W4F01,F2,480,630,ETU 850
CP1-FN3W4F01,F3,400,630,ETU 850
CP1-FN3W4F01,F4,400,630,ETU 850
CP1-FN3W5E01,F1,400,630,ETU 850
CP1-FN3W5E01,F2,250,630,ETU 850
CP1-FN3W5E01,F3,250,630,ETU 850
CP1-FN3W5E01,F4,250,630,ETU 850
CP1-FN3W5E01,F5,250,400,ETU 850
CP1-FN3W5E01,F6,250,400,ETU 850
CP1-FN3W5E01,F7,250,400,ETU 850
CP1-FN3W5E01,F8,250,400,ETU 850
CP1-FN3W5F01,F1,260,630,ETU 850
